Pid      Process              Base         InLoad   InInit   InMem    MappedPath
740      lsass.exe            0x7c800000   1        1        1        \WINDOWS\system32\kernel32.dll
740      lsass.exe            0x773d0000   1        1        1        \WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
740      lsass.exe            0x71bf0000   1        1        1        \WINDOWS\system32\samlib.dll
740      lsass.exe            0x662b0000   1        1        1        \WINDOWS\system32\hnetcfg.dll
740      lsass.exe            0x74410000   1        1        1        \WINDOWS\system32\scecli.dll
740      lsass.exe            0x75730000   1        1        1        \WINDOWS\system32\lsasrv.dll
740      lsass.exe            0x7c9c0000   1        1        1        \WINDOWS\system32\shell32.dll
740      lsass.exe            0x76390000   1        1        1        \WINDOWS\system32\imm32.dll
740      lsass.exe            0x76f20000   1        1        1        \WINDOWS\system32\dnsapi.dll
740      lsass.exe            0x5d090000   1        1        1        \WINDOWS\system32\comctl32.dll
740      lsass.exe            0x77f60000   1        1        1        \WINDOWS\system32\shlwapi.dll
740      lsass.exe            0x71aa0000   1        1        1        \WINDOWS\system32\ws2help.dll
740      lsass.exe            0x744b0000   1        1        1        \WINDOWS\system32\netlogon.dll
740      lsass.exe            0x776c0000   1        1        1        \WINDOWS\system32\authz.dll
740      lsass.exe            0x77fe0000   1        1        1        \WINDOWS\system32\secur32.dll
740      lsass.exe            0x71cf0000   1        1        1        \WINDOWS\system32\kerberos.dll
740      lsass.exe            0x77b20000   1        1        1        \WINDOWS\system32\msasn1.dll
904      vmacthlp.exe         0x400000     1        0        1        \Program Files\VMware\VMware Tools\vmacthlp.exe
904      vmacthlp.exe         0x7c800000   1        1        1        \WINDOWS\system32\kernel32.dll
904      vmacthlp.exe         0x773d0000   1        1        1        \WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
904      vmacthlp.exe         0x77f10000   1        1        1        \WINDOWS\system32\gdi32.dll
904      vmacthlp.exe         0x76390000   1        1        1        \WINDOWS\system32\imm32.dll
904      vmacthlp.exe         0x7e410000   1        1        1        \WINDOWS\system32\user32.dll
904      vmacthlp.exe         0x77f60000   1        1        1        \WINDOWS\system32\shlwapi.dll
904      vmacthlp.exe         0x77e70000   1        1        1        \WINDOWS\system32\rpcrt4.dll
904      vmacthlp.exe         0x76780000   1        1        1        \WINDOWS\system32\shfolder.dll
904      vmacthlp.exe         0x77fe0000   1        1        1        \WINDOWS\system32\secur32.dll
904      vmacthlp.exe         0x77dd0000   1        1        1        \WINDOWS\system32\advapi32.dll
904      vmacthlp.exe         0x774e0000   1        1        1        \WINDOWS\system32\ole32.dll
904      vmacthlp.exe         0x78520000   1        1        1        \WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\msvcr90.dll
904      vmacthlp.exe         0x7c900000   1        1        1        \WINDOWS\system32\ntdll.dll
904      vmacthlp.exe         0x78480000   1        1        1        \WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.4148_x-ww_d495ac4e\msvcp90.dll
904      vmacthlp.exe         0x77c10000   1        1        1        \WINDOWS\system32\msvcrt.dll
904      vmacthlp.exe         0x5d090000   1        1        1        \WINDOWS\system32\comctl32.dll
916      svchost.exe          0x1000000    1        0        1        \WINDOWS\system32\svchost.exe
916      svchost.exe          0x670000     1        1        1        \WINDOWS\system32\xpsp2res.dll
916      svchost.exe          0x76b40000   1        1        1        \WINDOWS\system32\winmm.dll
916      svchost.exe          0x74f70000   1        1        1        \WINDOWS\system32\icaapi.dll
916      svchost.exe          0x76f60000   1        1        1        \WINDOWS\system32\wldap32.dll
916      svchost.exe          0x77c00000   1        1        1        \WINDOWS\system32\version.dll
916      svchost.exe          0x5ad70000   1        1        1        \WINDOWS\system32\uxtheme.dll
916      svchost.exe          0x77b40000   1        1        1        \WINDOWS\system32\apphelp.dll
916      svchost.exe          0x76c90000   1        1        1        \WINDOWS\system32\imagehlp.dll
916      svchost.exe          0x76bc0000   1        1        1        \WINDOWS\system32\regapi.dll
916      svchost.exe          0x77dd0000   1        1        1        \WINDOWS\system32\advapi32.dll
916      svchost.exe          0x77a80000   1        1        1        \WINDOWS\system32\crypt32.dll
916      svchost.exe          0x77be0000   1        1        1        \WINDOWS\system32\msacm32.dll
916      svchost.exe          0x68000000   1        1        1        \WINDOWS\system32\rsaenh.dll
916      svchost.exe          0x76e10000   1        1        1        \WINDOWS\system32\adsldpc.dll
916      svchost.exe          0x76a80000   1        1        1        \WINDOWS\system32\rpcss.dll
916      svchost.exe          0x773d0000   1        1        1        \WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
916      svchost.exe          0x5b860000   1        1        1        \WINDOWS\system32\netapi32.dll
916      svchost.exe          0x77e70000   1        1        1        \WINDOWS\system32\rpcrt4.dll
916      svchost.exe          0x6f880000   1        1        1        \WINDOWS\AppPatch\acgenral.dll
916      svchost.exe          0x77690000   1        1        1        \WINDOWS\system32\ntmarta.dll
916      svchost.exe          0x71ab0000   1        1        1        \WINDOWS\system32\ws2_32.dll
916      svchost.exe          0x77cc0000   1        1        1        \WINDOWS\system32\activeds.dll
916      svchost.exe          0x774e0000   1        1        1        \WINDOWS\system32\ole32.dll
916      svchost.exe          0x77920000   1        1        1        \WINDOWS\system32\setupapi.dll
916      svchost.exe          0x7e410000   1        1        1        \WINDOWS\system32\user32.dll
916      svchost.exe          0x7c900000   1        1        1        \WINDOWS\system32\ntdll.dll
916      svchost.exe          0x77f10000   1        1        1        \WINDOWS\system32\gdi32.dll
916      svchost.exe          0x77120000   1        1        1        \WINDOWS\system32\oleaut32.dll
916      svchost.exe          0x5cb70000   1        1        1        \WINDOWS\system32\shimeng.dll
916      svchost.exe          0x76390000   1        1        1        \WINDOWS\system32\imm32.dll
916      svchost.exe          0x769c0000   1        1        1        \WINDOWS\system32\userenv.dll
916      svchost.exe          0x7c800000   1        1        1        \WINDOWS\system32\kernel32.dll
916      svchost.exe          0x76fd0000   1        1        1        \WINDOWS\system32\clbcatq.dll
916      svchost.exe          0x71bf0000   1        1        1        \WINDOWS\system32\samlib.dll
916      svchost.exe          0x77c10000   1        1        1        \WINDOWS\system32\msvcrt.dll
916      svchost.exe          0x760f0000   1        1        1        \WINDOWS\system32\termsrv.dll
916      svchost.exe          0x76c30000   1        1        1        \WINDOWS\system32\wintrust.dll
