SSDT[0] at 80501b8c with 284 entries
  Entry 0x00a6: 0x80570be4 (NtQueryQuotaInformationFile) owned by ntoskrnl.exe
  Entry 0x00a7: 0x805add08 (NtQuerySection) owned by ntoskrnl.exe
  Entry 0x00a8: 0x805b5b54 (NtQuerySecurityObject) owned by ntoskrnl.exe
  Entry 0x00a9: 0x8060bc6c (NtQuerySemaphore) owned by ntoskrnl.exe
  Entry 0x00aa: 0x805b9958 (NtQuerySymbolicLinkObject) owned by ntoskrnl.exe
  Entry 0x00ab: 0x8060d4be (NtQuerySystemEnvironmentValue) owned by ntoskrnl.exe
  Entry 0x00ac: 0x8060d486 (NtQuerySystemEnvironmentValueEx) owned by ntoskrnl.exe
  Entry 0x00ad: 0x806084a8 (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x00ae: 0x8060a344 (NtQuerySystemTime) owned by ntoskrnl.exe
  Entry 0x00af: 0x8060dbba (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x00b0: 0x80609bfc (NtQueryTimerResolution) owned by ntoskrnl.exe
  Entry 0x00b1: 0x80618e06 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x00b2: 0x805ae38e (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x00b3: 0x805710d4 (NtQueryVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x00b4: 0x805c8af2 (NtQueueApcThread) owned by ntoskrnl.exe
  Entry 0x00b5: 0x80540f20 (NtRaiseException) owned by ntoskrnl.exe
  Entry 0x00b6: 0x8060b8de (NtRaiseHardError) owned by ntoskrnl.exe
  Entry 0x00b7: 0x8057189c (NtReadFile) owned by ntoskrnl.exe
  Entry 0x00b8: 0x80571e2a (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x00b9: 0x8059b29a (NtReadRequestData) owned by ntoskrnl.exe
  Entry 0x00ba: 0x805a9844 (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x00bb: 0x805c8420 (NtRegisterThreadTerminatePort) owned by ntoskrnl.exe
  Entry 0x00bc: 0x8060e3c8 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x00bd: 0x8060bd9c (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x00be: 0x8056e1c4 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x00bf: 0x8063a72a (NtRemoveProcessDebug) owned by ntoskrnl.exe
  Entry 0x00c0: 0x8061a604 (NtRenameKey) owned by ntoskrnl.exe
  Entry 0x00c1: 0x8061ccb6 (NtReplaceKey) owned by ntoskrnl.exe
  Entry 0x00c2: 0x8059a91a (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x00c3: 0x8059b8e2 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x00c4: 0x8059b2ea (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x00c5: 0x8059ac04 (NtReplyWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x00c6: 0x805be594 (NtRequestDeviceWakeup) owned by ntoskrnl.exe
  Entry 0x00c7: 0x80597e78 (NtRequestPort) owned by ntoskrnl.exe
  Entry 0x00c8: 0x805981a4 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x00c9: 0x805be3a2 (NtRequestWakeupLatency) owned by ntoskrnl.exe
  Entry 0x00ca: 0x80605e16 (NtResetEvent) owned by ntoskrnl.exe
  Entry 0x00cb: 0x8051de82 (NtResetWriteWatch) owned by ntoskrnl.exe
  Entry 0x00cc: 0x8061c5c2 (NtRestoreKey) owned by ntoskrnl.exe
  Entry 0x00cd: 0x805caefe (NtResumeProcess) owned by ntoskrnl.exe
  Entry 0x00ce: 0x805cade0 (NtResumeThread) owned by ntoskrnl.exe
  Entry 0x00cf: 0x8061c6be (NtSaveKey) owned by ntoskrnl.exe
  Entry 0x00d0: 0x8061c7a4 (NtSaveKeyEx) owned by ntoskrnl.exe
  Entry 0x00d1: 0x8061c8cc (NtSaveMergedKeys) owned by ntoskrnl.exe
  Entry 0x00d2: 0x80599192 (NtSecureConnectPort) owned by ntoskrnl.exe
  Entry 0x00d3: 0x8060d4a2 (NtSetBootEntryOrder) owned by ntoskrnl.exe
  Entry 0x00d4: 0x8060d4a2 (NtSetBootOptions) owned by ntoskrnl.exe
  Entry 0x00d5: 0x805c8fb6 (NtSetContextThread) owned by ntoskrnl.exe
  Entry 0x00d6: 0x8063d3e2 (NtSetDebugFilterState) owned by ntoskrnl.exe
  Entry 0x00d7: 0x8060b788 (NtSetDefaultHardErrorPort) owned by ntoskrnl.exe
  Entry 0x00d8: 0x80607918 (NtSetDefaultLocale) owned by ntoskrnl.exe
  Entry 0x00d9: 0x8060818a (NtSetDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x00da: 0x8056f9d8 (NtSetEaFile) owned by ntoskrnl.exe
